country_code,country_name,indicator_id,indicator_name,year,value
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,77.4178009
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,76.19760132
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,74.78150177
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,72.21240234
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,63.47269821
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,55.79069901
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,49.0384680793271
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,47.69110107
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,42.94549942
DZA,Algeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,38.20000076
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,74.64839935
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,74.01190186
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,72.19806556
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,72.05599976
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,71.91420096
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,57.2828663990195
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,46.92433676792
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,44.9502042452857
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,41.2480670885772
EGY,"Egypt, Arab Rep.",IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,37.8193834276939
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,81.95449829
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,82.10469818
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,80.64720154
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,77.438797
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,74.35810089
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,71.40409851
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,47.5
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,47.5
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,35
LBY,Libya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,25
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,91.2
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,91
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,89.9
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,88.13031937
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,84.12036305
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,84.1203630467602
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,64.8038651924043
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,61.7622120123071
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,58.271236420398
MAR,Morocco,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,57.0799993486116
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,64.87460327
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,63.69549942
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,62.99720001
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,60.25999832
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,57.8608017
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,49.77590179
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,42.8207016
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,36.83739853
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,31.0333004
NAM,Namibia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,25.68790054
SDN,Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,18.60000038
SDN,Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,14.0999999446534
SDN,Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,12
SSD,South Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,6.671000004
SSD,South Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,4.800000191
SSD,South Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,4.1
SSD,South Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,3.5
SSD,South Sudan,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,3
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,76.5
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,68.31552226
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,68.55639648
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,66.6999983024144
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,64.1908102327387
TUN,Tunisia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,55.5001550633671
